team,games_played,possessions,shotclock_forced,pressure_turnovers_forced,desperation_misses_forced,shotclock_forced_per_100,pressure_turnovers_forced_per_100,desperation_misses_forced_per_100,lcpi_per_100
BOS,102,11226.36,75,942,2496,0.6680705054888672,8.390965548940173,22.2333864226695,15.980246491293704
CLE,87,9324.28,90,928,1860,0.9652219796059319,9.952511078603388,19.947920911855928,15.915437974835589
BKN,86,9218.96,60,829,1956,0.6508326318803856,8.992337530480663,21.217143799300576,15.755573296771002
MIL,87,9937.36,29,751,2222,0.2918280106587665,7.557339172577023,22.360063437371693,15.250529315633123
PHX,93,10419.72,75,941,1991,0.7197890154437931,9.030952847101458,19.107999063314562,14.789264970651802
PHI,93,9961.92,66,918,1888,0.6625228871542834,9.215091066782307,18.952169862837685,14.746153351964281
LAL,98,11110.76,50,893,2282,0.4500142204493662,8.037253977225681,20.538649021309073,14.737965719716742
MIN,86,9648.960000000001,55,952,1778,0.5700096176168209,9.866348290385698,18.42685636586741,14.716611945743374
LAC,86,9482.48,55,766,1910,0.5800170419552692,8.07805552977702,20.142410002446617,14.690249808067088
MEM,88,10171.36,66,948,1876,0.6488807789715435,9.320287552500353,18.44394456591842,14.530996838180933
MIA,105,11317.6,60,1133,2016,0.5301477345020145,10.01095638651304,17.812963879267688,14.442107867392378
GSW,95,10915.84,60,953,2066,0.5496599437148217,8.730432106003752,18.926624061913696,14.378188027673547
DEN,102,11153.44,48,970,2112,0.4303604986443644,8.696868410104864,18.935861940352034,14.246725673872815
DAL,82,8771.08,54,740,1639,0.6156596451064179,8.436817358865726,18.686410339433685,14.177273494256124
IND,82,9357.36,65,860,1644,0.694640368650987,9.190626415997674,17.56905793941881,14.07448254635923
ORL,82,9154.0,44,829,1642,0.4806641905178064,9.056150316801398,17.937513655232685,13.977496176534848
CHI,82,8944.72,68,878,1480,0.760225026607876,9.815846667084045,16.54607410852436,13.94118541441208
ATL,88,10097.88,57,875,1825,0.5644749194880511,8.66518516757973,18.073100492380583,13.933617749468205
TOR,82,9254.68,59,977,1478,0.6375152895616055,10.556820981384552,15.970298270712762,13.901074915610264
NYK,93,10406.08,61,828,1937,0.586195762477321,7.956886743134783,18.61411790030444,13.871698084196932
OKC,82,9466.36,47,1019,1495,0.49649495687888473,10.764433214033692,15.792765117743249,13.775094122767356
NOP,82,9209.0,50,876,1556,0.542947116950809,9.512433488978173,16.896514279509177,13.747421001194486
SAC,89,10058.4,44,905,1769,0.4374453193350831,8.997454863596596,17.5872902250855,13.729817863676134
WAS,82,9029.72,35,731,1658,0.3876089181059878,8.09548911815649,18.36158817770651,13.616147566037487
POR,82,9010.24,50,766,1582,0.554924175160706,8.501438363462016,17.55780090208474,13.584543807934086
DET,82,9255.64,44,803,1588,0.475385818808856,8.675791193261622,17.157106369737804,13.391834600308568
SAS,82,9566.16,53,804,1638,0.5540363113307742,8.404626307734766,17.122858074713363,13.31777850255484
CHA,82,9384.52,48,846,1555,0.5114806084914305,9.014845724661463,16.569840545920304,13.303823743782313
UTA,82,9447.2,39,733,1657,0.41282072995173175,7.758912693708188,17.539588449487677,13.062071301549663
HOU,82,9468.32,48,814,1511,0.506953715125809,8.597090085675179,15.958480490731198,12.784739003328996
